date,g,f,m,i,p,ticker
4/6/2015,0.044,0.34,0.204,0.394,31.77,VECO
4/7/2015,0.044,0.342,0.204,0.394,31.59,VECO
4/8/2015,0.044,0.342,0.196,0.396,30.79,VECO
4/9/2015,0.044,0.342,0.174,0.404,30.63,VECO
4/10/2015,0.044,0.342,0.172,0.404,31.6,VECO
4/13/2015,0.044,0.342,0.194,0.398,31.89,VECO
4/14/2015,0.044,0.34,0.198,0.396,31.7,VECO
4/15/2015,0.044,0.348,0.172,0.406,31.69,VECO
4/16/2015,0.046,0.35,0.17,0.408,31.5,VECO
4/17/2015,0.046,0.35,0.164,0.41,30.9,VECO
4/20/2015,0.046,0.348,0.158,0.412,31.14,VECO
4/21/2015,0.868,0.238,0.294,0.604,31.14,VECO
4/22/2015,0.868,0.238,0.296,0.604,31.24,VECO
4/23/2015,0.87,0.238,0.298,0.604,31.21,VECO
4/24/2015,0.868,0.238,0.286,0.606,30.36,VECO
4/27/2015,0.87,0.238,0.264,0.614,30.13,VECO
4/28/2015,0.87,0.24,0.264,0.614,30.42,VECO
4/29/2015,0.87,0.238,0.274,0.61,30.05,VECO
4/30/2015,0.868,0.24,0.256,0.618,29.51,VECO
5/1/2015,0.868,0.238,0.25,0.618,29.59,VECO
5/4/2015,0.87,0.238,0.252,0.618,30.06,VECO
5/5/2015,0.87,0.236,0.258,0.616,28.55,VECO
5/6/2015,0.872,0.236,0.212,0.632,28.25,VECO
5/7/2015,0.874,0.24,0.216,0.632,30.09,VECO
5/8/2015,0.862,0.282,0.198,0.65,30.49,VECO
5/11/2015,0.862,0.284,0.202,0.648,30.61,VECO
5/12/2015,0.862,0.284,0.204,0.648,31.13,VECO
5/13/2015,0.862,0.284,0.218,0.642,31.13,VECO
5/14/2015,0.862,0.286,0.22,0.644,31.43,VECO
5/15/2015,0.862,0.286,0.22,0.642,30.88,VECO
5/18/2015,0.864,0.286,0.212,0.646,31.23,VECO
5/19/2015,0.854,0.286,0.214,0.642,31.14,VECO
5/20/2015,0.854,0.288,0.216,0.642,30.86,VECO
5/21/2015,0.854,0.288,0.216,0.642,31.68,VECO
5/22/2015,0.854,0.288,0.23,0.638,30.18,VECO
5/25/2015,0.854,0.286,0.204,0.646,30.18,VECO
5/26/2015,0.852,0.286,0.204,0.646,30.04,VECO
5/27/2015,0.854,0.288,0.206,0.644,30.47,VECO
5/28/2015,0.852,0.288,0.21,0.644,30.71,VECO
5/29/2015,0.866,0.288,0.23,0.642,30.28,VECO
6/1/2015,0.866,0.288,0.21,0.648,30.25,VECO
6/2/2015,0.866,0.288,0.218,0.646,30.49,VECO
6/3/2015,0.866,0.288,0.218,0.646,31.5,VECO
6/4/2015,0.864,0.29,0.244,0.636,30.99,VECO
6/5/2015,0.868,0.29,0.242,0.64,31.28,VECO
6/8/2015,0.868,0.288,0.236,0.64,30.93,VECO
6/9/2015,0.868,0.29,0.232,0.642,30.95,VECO
6/10/2015,0.868,0.29,0.232,0.642,31.56,VECO
6/11/2015,0.868,0.294,0.234,0.642,31.34,VECO
6/12/2015,0.868,0.294,0.232,0.644,31.08,VECO
6/15/2015,0.868,0.294,0.23,0.644,30.87,VECO
6/16/2015,0.868,0.296,0.224,0.646,30.71,VECO
6/17/2015,0.868,0.298,0.224,0.646,30.57,VECO
